Hauljoin,Pred_nodc,Pred_specn,Prey_nodc,Prey_cnt,Prey_twt,Pred_stomwt,Pred_len,Pred_full,Pred_wt,Year,Month,day,region,Pred_name,Prey_Name,Pred_lh,Pred_dig,Prey_lh,Pred_sex,Prey_parts,Vessel,Cruise,Haul,Rlat,Rlong,Gear_depth,Bottom_depth,Start_hour,Surface_temp,Gear_temp,INPFC_Area,Stationid,Start_date
11010015.0,8827020101.0,1.0,9999990000.0,,0.10000000000000001,0.10000000000000001,54.0,2.0,1571.5,1987.0,6.0,22.0,GOA,"Anoplopoma fimbria","Misc Org",0.0,2.0,,2.0,,78.0,198701.0,148.0,54.539999999999999,-158.78,338.0,338.0,12.0,,,620.0,136-54,"1987-06-22 00:00:00"
11010015.0,8827020101.0,2.0,8794010000.0,1.0,425.0,425.0,86.0,5.0,7412.8000000000002,1987.0,6.0,22.0,GOA,"Anoplopoma fimbria",Macrouridae,0.0,4.0,,2.0,,78.0,198701.0,148.0,54.539999999999999,-158.78,338.0,338.0,12.0,,,620.0,136-54,"1987-06-22 00:00:00"
11010015.0,8827020101.0,3.0,5705000000.0,1.0,2.5,2.5,54.0,2.0,1571.5,1987.0,6.0,22.0,GOA,"Anoplopoma fimbria",Teuthida,0.0,4.0,,2.0,,78.0,198701.0,148.0,54.539999999999999,-158.78,338.0,338.0,12.0,,,620.0,136-54,"1987-06-22 00:00:00"
11010015.0,8827020101.0,4.0,5708000000.0,1.0,175.0,175.0,61.0,5.0,2359.1999999999998,1987.0,6.0,22.0,GOA,"Anoplopoma fimbria",Octopoda,0.0,4.0,,2.0,,78.0,198701.0,148.0,54.539999999999999,-158.78,338.0,338.0,12.0,,,620.0,136-54,"1987-06-22 00:00:00"
11010015.0,8827020101.0,5.0,3730000000.0,,6.2999999999999998,7.0,81.0,2.0,6071.1999999999998,1987.0,6.0,22.0,GOA,"Anoplopoma fimbria",Cnidaria,0.0,4.0,,2.0,,78.0,198701.0,148.0,54.539999999999999,-158.78,338.0,338.0,12.0,,,620.0,136-54,"1987-06-22 00:00:00"
11010015.0,8827020101.0,5.0,5705000000.0,,0.69999999999999996,7.0,81.0,2.0,6071.1999999999998,1987.0,6.0,22.0,GOA,"Anoplopoma fimbria",Teuthida,0.0,4.0,,2.0,,78.0,198701.0,148.0,54.539999999999999,-158.78,338.0,338.0,12.0,,,620.0,136-54,"1987-06-22 00:00:00"
11010015.0,8827020101.0,6.0,6158000000.0,,3.75,375.0,61.0,5.0,2359.1999999999998,1987.0,6.0,22.0,GOA,"Anoplopoma fimbria",Isopoda,0.0,2.0,,2.0,,78.0,198701.0,148.0,54.539999999999999,-158.78,338.0,338.0,12.0,,,620.0,136-54,"1987-06-22 00:00:00"
11010015.0,8827020101.0,6.0,9999999993.0,,371.25,375.0,61.0,5.0,2359.1999999999998,1987.0,6.0,22.0,GOA,"Anoplopoma fimbria",Offal,0.0,2.0,,2.0,,78.0,198701.0,148.0,54.539999999999999,-158.78,338.0,338.0,12.0,,,620.0,136-54,"1987-06-22 00:00:00"
11010015.0,8827020101.0,7.0,9999990000.0,,0.10000000000000001,0.10000000000000001,60.0,2.0,2232.8000000000002,1987.0,6.0,22.0,GOA,"Anoplopoma fimbria","Misc Org",0.0,2.0,,2.0,,78.0,198701.0,148.0,54.539999999999999,-158.78,338.0,338.0,12.0,,,620.0,136-54,"1987-06-22 00:00:00"
11010015.0,8827020101.0,8.0,0.0,,0.0,0.0,77.0,1.0,5128.1999999999998,1987.0,6.0,22.0,GOA,"Anoplopoma fimbria",Empty,0.0,1.0,,2.0,,78.0,198701.0,148.0,54.539999999999999,-158.78,338.0,338.0,12.0,,,620.0,136-54,"1987-06-22 00:00:00"
11010015.0,8827020101.0,9.0,8735000000.0,1.0,0.10000000000000001,0.10000000000000001,78.0,2.0,5220.6999999999998,1987.0,6.0,22.0,GOA,"Anoplopoma fimbria","Misc Teleost",0.0,4.0,,1.0,,78.0,198701.0,148.0,54.539999999999999,-158.78,338.0,338.0,12.0,,,620.0,136-54,"1987-06-22 00:00:00"
